Area Code,Coffee or Tea,Date,Dice:,Market,Market Size,Product,Product Type,Slice:,St,ST ,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Coffee Sales,Coffee Sales %,Cogs,Control Line- Average: Coffee as % of Sales,Inventory,Margin,Marketing,Number of Records,Profit,Profit %,Profit % Color Density,Sales,Sales + Profit,"Sales, Margin or Profit",Tea Sales,TeaCoffeeSales,Total Expenses
970,Coffee,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Decaf Irish Cream,Coffee,Central,Color,CO,Colorado,Decaf,100,140,110,240,234,1,95,1,821,139,26,1,101,0.431623932,0.129487179,234,335,234,,234,38
309,Coffee,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Decaf Irish Cream,Coffee,Central,Illin,IL,Illinois,Decaf,100,140,100,240,234,1,95,1,608,139,30,1,87,0.371794872,0.111538462,234,321,234,,234,52
614,Coffee,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Decaf Irish Cream,Coffee,Central,Ohio,OH,Ohio,Decaf,60,90,20,150,150,1,63,1,435,87,57,1,0,0,0,150,150,150,,150,87
720,Coffee,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Decaf Espresso,Espresso,Central,Color,CO,Colorado,Decaf,80,130,80,210,180,1,72,1,558,108,23,1,53,0.294444444,0.088333333,180,233,180,,180,55
630,Coffee,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Decaf Espresso,Espresso,Central,Illin,IL,Illinois,Decaf,260,270,180,530,456,1,228,1,1459,228,63,1,140,0.307017544,0.092105263,456,596,456,,456,88
614,Coffee,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Decaf Espresso,Espresso,Central,Ohio,OH,Ohio,Decaf,60,90,40,150,130,1,58,1,338,72,22,1,16,0.123076923,0.036923077,130,146,130,,130,56
970,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Chamomile,Herbal Tea,Central,Color,CO,Colorado,Decaf,140,160,110,300,,,170,,1091,171,47,1,99,0.290322581,0.087096774,341,440,341,341,341,72
312,Tea,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Chamomile,Herbal Tea,Central,Illin,IL,Illinois,Decaf,70,120,100,190,,,89,,777,130,24,1,95,0.433789954,0.130136986,219,314,219,219,219,35
937,Tea,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Chamomile,Herbal Tea,Central,Ohio,OH,Ohio,Decaf,20,50,50,70,,,32,,456,48,8,1,29,0.3625,0.10875,80,109,80,80,80,19
719,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Lemon,Herbal Tea,Central,Color,CO,Colorado,Decaf,50,80,20,130,,,63,,435,87,57,1,0,0,0,150,150,150,150,150,87
630,Tea,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Lemon,Herbal Tea,Central,Illin,IL,Illinois,Decaf,70,90,60,160,,,83,,623,107,27,1,68,0.357894737,0.107368421,190,258,190,190,190,39
740,Tea,1/1/2012 12:00:00 AM,Ohio,Central,Major Market,Lemon,Herbal Tea,Central,Ohio,OH,Ohio,Decaf,20,50,50,70,,,32,,821,48,8,1,29,0.3625,0.10875,80,109,80,80,80,19
970,Tea,1/1/2012 12:00:00 AM,Colorado,Central,Major Market,Mint,Herbal Tea,Central,Color,CO,Colorado,Decaf,50,70,40,120,,,60,,336,80,19,1,33,0.235714286,0.070714286,140,173,140,140,140,47
773,Tea,1/1/2012 12:00:00 AM,Illinois,Central,Major Market,Mint,Herbal Tea,Central,Illin,IL,Illinois,Decaf,80,120,100,200,,,95,,821,139,26,1,101,0.431623932,0.129487179,234,335,234,234,234,38
754,Coffee,1/1/2012 12:00:00 AM,Florida,East,Major Market,Decaf Irish Cream,Coffee,East,Flori,FL,Florida,Decaf,80,110,70,190,200,1,84,1,500,116,26,1,67,0.335,0.1005,200,267,200,,200,49
754,Coffee,1/1/2012 12:00:00 AM,Florida,East,Major Market,Decaf Espresso,Espresso,East,Flori,FL,Florida,Decaf,70,100,60,170,180,1,77,1,432,103,25,1,50,0.277777778,0.083333333,180,230,180,,180,53
