Customer Id,Customer Rating,Gender,0,F Quartile,Frequency of Visit,Last Day(s) of Visit,M Quartile,Number of Records,R Quartile,RFM Class,Spending Per Visit (RM),Total Spending (RM)
280054,Potential Lost,Female,0,1,11,75,1,1,3,311,2121.346118182,23334.8073
280101,Potential Lost,Female,0,1,16,71,1,1,3,311,1108.1055625,17729.689
280917,Potential Lost,Female,0,1,29,71,1,1,3,311,181.403448276,5260.7
282441,Potential Lost,Female,0,1,26,74,1,1,3,311,300.186173077,7804.8405
282602,Potential Lost,Female,0,1,27,81,1,1,3,311,987.9922,26675.7894
283023,Potential Lost,Female,0,1,18,113,1,1,3,311,804.4073,14479.3314
289029,Potential Lost,Female,0,1,20,68,1,1,3,311,286.305,5726.1
305375,Potential Lost,Female,0,1,20,74,1,1,3,311,140.61,2812.2
309506,Potential Lost,Female,0,1,28,111,1,1,3,311,262.813471429,7358.7772
309766,Potential Lost,Female,0,1,12,64,1,1,3,311,1370.3,16443.6
666165,Potential Lost,Female,0,1,15,91,1,1,3,311,550.236406667,8253.5461
666543,Potential Lost,Female,0,1,11,133,1,1,3,311,568.730563636,6256.0362
869017,Potential Lost,Female,0,1,13,70,1,1,3,311,315.861538462,4106.2
203390,Regular Shoppers,Female,0,3,3,153,4,1,4,434,35.666666667,107
203402,Regular Shoppers,Female,0,4,1,77,4,1,3,344,101,101
203403,Regular Shoppers,Female,0,2,6,3,3,1,1,123,65.9,395.4
203522,Regular Shoppers,Female,0,2,7,41,2,1,2,222,172.4,1206.8
203732,Regular Shoppers,Female,0,2,5,3,4,1,1,124,17.6,88
203838,Regular Shoppers,Female,0,3,2,273,3,1,4,433,70.25,140.5
203858,Regular Shoppers,Female,0,4,1,289,3,1,4,443,158,158
203866,Regular Shoppers,Female,0,3,2,17,4,1,1,134,26.5,53
203867,Regular Shoppers,Female,0,3,2,289,4,1,4,434,5,10
203893,Regular Shoppers,Female,0,4,1,111,4,1,3,344,108,108
203895,Regular Shoppers,Female,0,4,1,18,4,1,1,144,43,43
203920,Regular Shoppers,Female,0,4,1,0,4,1,1,144,72,72
210321,Regular Shoppers,Female,0,4,1,184,3,1,4,443,180,180
210461,Regular Shoppers,Female,0,2,5,31,2,1,2,222,432.456,2162.28
210603,Regular Shoppers,Female,0,2,5,78,4,1,3,324,17.85,89.25
210608,Regular Shoppers,Female,0,3,2,251,2,1,4,432,1007.4156,2014.8312
210800,Regular Shoppers,Female,0,2,7,39,2,1,2,222,220.677142857,1544.74
210803,Regular Shoppers,Female,0,4,1,119,4,1,3,344,68.842,68.842
230004,Regular Shoppers,Female,0,2,4,105,3,1,3,323,90.1,360.4
230028,Regular Shoppers,Female,0,4,1,179,3,1,4,443,180,180
230029,Regular Shoppers,Female,0,4,1,92,2,1,3,342,1280,1280
230031,Regular Shoppers,Female,0,2,8,22,2,1,2,222,260.1375,2081.1
230032,Regular Shoppers,Female,0,4,1,124,4,1,3,344,6,6
